service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260420,20260605
2,0,0,0,0,0,1,0,20260418,20260530
3,1,0,0,0,0,0,1,20260419,20260531
4,1,1,1,1,1,0,0,20260420,20260605
5,1,1,1,1,1,0,0,20260420,20260501
6,1,1,1,1,1,0,0,20260518,20260605
7,1,1,1,1,1,0,0,20260420,20260515
8,0,0,0,0,0,0,1,20260419,20260531
9,1,0,0,0,0,0,0,20260525,20260525
10,1,1,1,1,1,1,1,20260418,20260605
11,1,1,1,1,1,1,1,20260418,20260605
12,1,1,1,1,1,0,0,20260504,20260605
13,1,1,1,1,1,0,0,20260420,20260605
14,1,1,1,1,1,0,1,20260419,20260605
15,1,0,0,0,0,1,1,20260418,20260531
16,1,0,0,0,0,1,1,20260418,20260531
17,1,1,1,1,1,0,0,20260514,20260605
18,1,1,1,1,1,0,0,20260420,20260525
19,1,1,1,1,1,1,1,20260418,20260605
20,1,1,0,1,1,0,0,20260504,20260605
21,1,1,1,1,1,1,1,20260418,20260605
22,0,0,0,0,0,1,0,20260418,20260530
23,1,1,1,1,1,0,0,20260420,20260605
24,1,1,1,1,1,0,0,20260420,20260605
25,1,1,1,1,1,0,1,20260419,20260605
26,1,0,0,0,0,0,1,20260419,20260531
27,0,1,1,0,0,0,0,20260526,20260527
28,1,1,1,1,1,0,1,20260419,20260605
29,1,1,1,1,1,0,0,20260518,20260605
30,1,0,0,0,0,0,1,20260419,20260531
31,0,0,0,0,0,1,0,20260418,20260530
32,0,0,0,1,1,0,0,20260423,20260508
33,1,1,1,1,1,0,0,20260420,20260605
34,0,0,0,0,0,0,1,20260419,20260426
35,0,0,0,0,0,1,0,20260418,20260425
36,0,0,0,0,1,0,0,20260424,20260424
37,0,0,1,0,0,0,0,20260506,20260603
38,0,0,0,0,0,0,1,20260503,20260531
39,0,0,0,0,0,1,0,20260502,20260530
40,0,0,0,0,0,1,1,20260425,20260426
41,0,0,0,0,0,0,1,20260426,20260426
42,0,0,0,0,0,1,0,20260425,20260425
43,0,0,0,0,0,1,0,20260502,20260502
44,0,0,0,0,1,0,0,20260501,20260501
45,0,0,0,0,0,0,1,20260503,20260503
46,0,0,0,0,1,0,1,20260501,20260503
